url,title,description,date
https://www.cnbc.com/2019/04/24/tesla-cfo-zach-kirkhorn-says-profitability-not-likely-until-q3-of-2019.html,Tesla braces investors for another quarter in the red - CNBC,Tesla braces investors for another quarter in the red,2019_04_25
https://dailygalaxy.com/2019/04/one-trillion-times-age-of-the-cosmos-rarest-thing-ever-detected/,“One Trillion Times Age of the Cosmos” –Rarest Thing Ever Detected - The Daily Galaxy --Great Discoveries Channel,"“We actually saw this decay happen. It’s the longest, slowest process that has ever been directly observed, and our dark matter detector was sensitive enough to measure it,” said Ethan Brown, an assistant professor of physics at Rensselaer Polytechnic Institu…",2019_04_25
https://www.mlbtraderumors.com/2019/04/blue-jays-promote-vladimir-guerrero-jr.html,Blue Jays To Promote Vladimir Guerrero Jr. - MLB Trade Rumors,The Blue Jays are promoting uber-prospect Vladimir Guerrero Jr. to the Major Leagues on Friday. Read more at MLB Trade Rumors.,2019_04_25
https://www.mercurynews.com/2019/04/24/brother-man-accused-of-driving-into-sunnyvale-crowd-was-iraq-veteran-suffered-ptsd/,Brother: Man accused of driving into Sunnyvale crowd was troubled Iraq veteran - The Mercury News,"Isaiah Joel Peoples was arrested on suspicion of driving his black Toyota Corolla into pedestrians on El Camino Real, injuring eight people, including a teenage girl.",2019_04_25
https://www.cnet.com/how-to/when-to-pee-during-avengers-endgame-bathroom-break/,When to take a bathroom pee break during Avengers: Endgame - CNET,"It's the longest MCU film yet, so if you don't plan ahead, these are the safest scenes to make a run for it (no plot spoilers!).",2019_04_25
https://www.npr.org/2019/04/24/716886822/facebook-could-face-up-to-5-billion-fine-for-privacy-violations,Facebook Setting Aside Up To $5 Billion For Privacy Violations - NPR,Facebook reported strong profits on Wednesday but also revealed it is setting aside $3 billion to pay a penalty to regulators for violating users' privacy.,2019_04_25
https://perezhilton.com/emipre-jussie-smollett-open-letter/,'Empire' Cast Pens Open Letter Asking Jussie Smollett Be Brought Back For Season Six - But Will It Happen?? - PerezHilton.com,"The Empire cast wants Jussie Smollett back on the show! Gearing up for their sixth season of the popular and always-dramatic TV show, the cast is putting on quite the unified front today after penning and publishing an open letter in which they specifically r…",2019_04_25
https://www.cnet.com/news/microsoft-admits-expiring-password-rules-are-useless/,Microsoft admits expiring-password rules are useless - CNET,"Hey, IT staffers, are you listening?",2019_04_25
https://www.vulture.com/article/jeopardy-quiz-james-holzhauer-got-wrong.html,Can You Answer the Jeopardy! Clues James Holzhauer Couldn’t? - Vulture,Take this quiz to find out.,2019_04_25
https://www.aljazeera.com/news/2019/04/exemptions-sanctions-iran-revolutionary-guard-190424191857448.html,US gives exemptions to sanctions on Iran's Revolutionary Guard - Aljazeera.com,Governments and businesses that have dealings with the IRGC will not be subject to a ban on US travel under waivers.,2019_04_25
